iter	Passed	Remaining
368	6494	2305
369	6510	2287
370	6527	2269
371	6545	2252
372	6561	2234
373	6577	2215
374	6593	2197
375	6616	2182
376	6638	2165
377	6655	2148
378	6672	2130
379	6689	2112
380	6705	2094
381	6722	2076
382	6738	2058
383	6757	2041
384	6774	2023
385	6791	2005
386	6808	1987
387	6824	1969
388	6842	1952
389	6858	1934
390	6875	1916
391	6892	1899
392	6909	1881
393	6927	1863
394	6944	1846
395	6962	1828
396	6980	1811
397	6997	1793
398	7014	1775
399	7033	1758
400	7050	1740
401	7066	1722
402	7082	1704
403	7099	1687
404	7117	1669
405	7133	1651
406	7149	1633
407	7167	1616
408	7184	1598
409	7201	1580
410	7217	1562
411	7233	1545
412	7250	1527
413	7267	1509
414	7283	1491
415	7301	1474
416	7317	1456
417	7334	1438
418	7352	1421
419	7367	1403
420	7385	1385
421	7402	1368
422	7419	1350
423	7437	1333
424	7457	1315
425	7472	1298
426	7489	1280
427	7505	1262
428	7523	1245
429	7541	1227
430	7558	1210
431	7575	1192
432	7593	1174
433	7610	1157
434	7627	1139
435	7644	1122
436	7661	1104
437	7677	1086
438	7693	1069
439	7710	1051
440	7727	1033
441	7744	1016
442	7761	998
443	7778	981
444	7795	963
445	7813	946
446	7832	928
447	7850	911
448	7869	893
449	7887	876
450	7904	858
451	7921	841
452	7938	823
453	7955	806
454	7972	788
455	7990	770
456	8010	753
457	8028	736
458	8047	718
459	8064	701
460	8083	683
461	8100	666
462	8117	648
463	8133	631
464	8152	613
465	8168	595
466	8186	578
467	8203	560
468	8220	543
469	8237	525
470	8254	508
471	8274	490
472	8293	473
473	8313	455
474	8329	438
475	8349	420
476	8366	403
477	8382	385
478	8399	368
479	8417	350
480	8434	333
481	8451	315
482	8467	298
483	8485	280
484	8502	262
485	8518	245
486	8536	227
487	8553	210
488	8571	192
489	8589	175
490	8611	157
491	8631	140
492	8649	122
493	8665	105
494	8684	87
495	8701	70
496	8719	52
497	8737	35
498	8756	17
499	8775	0
