iter	Logloss
0	0.6561154205
1	0.6292504904
2	0.605928311
3	0.5814157345
4	0.5616306378
5	0.542327703
6	0.5246517052
7	0.5136454881
8	0.5026901471
9	0.4923135803
10	0.4840676882
11	0.4761551159
12	0.4671997791
13	0.4616945992
14	0.4559192526
15	0.4503335096
16	0.4456825237
17	0.4406300926
18	0.4366395703
19	0.433530837
20	0.4300597415
21	0.4272602974
22	0.4248934672
23	0.4227232051
24	0.42021479
25	0.4178170801
26	0.4158203103
27	0.4145226393
28	0.4133742272
29	0.4123294135
30	0.4111090573
31	0.4097756925
32	0.4088362112
33	0.4080731205
34	0.4071497117
35	0.4061420381
36	0.4051534913
37	0.4044730312
38	0.4037858696
39	0.4030927777
40	0.4020144178
41	0.4012212255
42	0.4008029141
43	0.3999238198
44	0.3995361958
45	0.3991781887
46	0.3988016461
47	0.3984033726
48	0.3980714955
49	0.3977039716
50	0.3971841273
51	0.3968414245
52	0.3962779588
53	0.3959752134
54	0.395637501
55	0.3953663236
56	0.3950601661
57	0.394710531
58	0.3944876148
59	0.3942861386
60	0.3941050649
61	0.393806489
62	0.3936089358
63	0.3933710741
64	0.3932184063
65	0.3930222341
66	0.3928041129
67	0.3925724067
68	0.3923688151
69	0.3922279017
70	0.391988304
71	0.3916020575
72	0.3914445115
73	0.3912875939
74	0.390997907
75	0.3907787048
76	0.3906285273
77	0.3904204387
78	0.3902681175
79	0.3900614955
80	0.3899180343
81	0.3896834958
82	0.3895349586
83	0.3893359196
84	0.389218734
85	0.3890573414
86	0.388867883
87	0.3886713457
88	0.3884736098
89	0.3883879533
90	0.3882373079
91	0.3881033326
92	0.3879626953
93	0.3878058572
94	0.3876702103
95	0.3874942689
96	0.3873633887
97	0.3872347762
98	0.3869696161
99	0.3868389639
100	0.3866310926
101	0.3864401959
102	0.3863420264
103	0.386190515
104	0.3859258972
105	0.3857979744
106	0.385572088
107	0.3854273995
108	0.3853049006
109	0.3851877875
110	0.3849698693
111	0.3848191494
112	0.3847253425
113	0.3845470531
114	0.3844167013
115	0.3842495017
116	0.3841092821
117	0.3839827232
118	0.3839069951
119	0.3837388992
120	0.3836159798
121	0.3834791088
122	0.3833930636
123	0.3832811292
124	0.383135631
125	0.3830252202
126	0.3829057675
127	0.3828036294
128	0.3826522867
129	0.3825377671
130	0.3824203983
131	0.3823485762
132	0.382196655
133	0.3821232762
134	0.3820007579
135	0.3817818225
136	0.3816182529
137	0.3815036743
138	0.3814513469
139	0.3813319186
140	0.381267516
141	0.3811118029
142	0.3809346147
143	0.3808142293
144	0.3806794121
145	0.3805736448
146	0.3804247407
147	0.3804018296
148	0.3802669731
149	0.3801636738
150	0.3800431414
151	0.3799373379
152	0.3798453169
153	0.3797168708
154	0.3796301167
155	0.3795331759
156	0.3794325427
157	0.3793304983
158	0.3792614557
159	0.3791073495
160	0.3790053298
161	0.3788692809
162	0.3787963994
163	0.3786972033
164	0.3785671201
165	0.3784958815
166	0.378378694
167	0.3782309744
168	0.3781504248
169	0.3779976307
170	0.3779147715
171	0.3777719703
172	0.3776292781
173	0.3775120968
174	0.3773700741
175	0.377307305
176	0.3771961838
177	0.3771013337
178	0.3769978727
179	0.3768506266
180	0.3766779088
181	0.3765276595
182	0.3764021463
183	0.3762548258
184	0.3761009783
185	0.3760014998
186	0.3759076756
187	0.3757797205
188	0.3756342428
189	0.3755140088
190	0.3753616026
191	0.3752639439
192	0.3751577591
193	0.3750562662
194	0.3749914614
195	0.3748610034
196	0.3747466459
197	0.3746197708
198	0.3745114242
199	0.3744076594
200	0.3743107297
201	0.3742028535
202	0.3740832317
203	0.3739847303
204	0.3738820199
205	0.3737193417
206	0.3736035087
207	0.373480345
208	0.3734157913
209	0.3733032256
210	0.3730992466
211	0.3729627086
212	0.37287939
213	0.3728042249
214	0.3726579743
215	0.3725755256
216	0.3724858702
217	0.3723264904
218	0.3722410856
219	0.3721056038
220	0.3720567786
221	0.3719482158
222	0.3717498582
223	0.3716556355
224	0.3715128891
225	0.3713825435
226	0.3712701391
227	0.371174806
228	0.3710316603
229	0.3709129154
230	0.3708134938
231	0.3707234106
232	0.370602243
233	0.3704694291
234	0.3703106146
235	0.3701782837
236	0.3700263452
237	0.3699375239
238	0.3698043281
239	0.3697213988
240	0.3695801223
241	0.3695074552
242	0.3693960625
243	0.3692910327
244	0.3692105908
245	0.3691033381
246	0.3689986006
247	0.3688424459
248	0.3687082616
249	0.3686011016
250	0.3684803583
251	0.3683408199
252	0.3682580782
253	0.3681588939
254	0.3680179578
255	0.3678979528
256	0.3678200822
257	0.3677183113
258	0.3675803202
259	0.3674871348
260	0.3673710648
261	0.3672831659
262	0.3671807284
263	0.3670458917
264	0.366902636
265	0.3667836088
266	0.3666807795
267	0.366616782
268	0.3663966865
269	0.3663168644
270	0.3662078504
271	0.3660924331
272	0.3659988505
273	0.3658767897
274	0.365762003
275	0.3656184481
276	0.365529702
277	0.3653981116
278	0.3653276432
279	0.3652012473
280	0.3650874325
281	0.3649978047
282	0.3648881572
283	0.3647697853
284	0.3646321474
285	0.3645038283
286	0.3643796029
287	0.3642889479
288	0.3641631009
289	0.3640792593
290	0.3639402169
291	0.3638471149
292	0.3637055926
293	0.3636357819
294	0.3635142222
295	0.3633444515
296	0.3632713057
297	0.3631761708
298	0.3631083227
299	0.362972937
300	0.3628370765
301	0.3627206989
302	0.3625952109
303	0.3624940759
304	0.3623720084
305	0.3622470299
306	0.3621557588
307	0.3620402764
308	0.361928869
309	0.3618339831
310	0.3617184943
311	0.3616152994
312	0.361397017
313	0.3613005121
314	0.3611410925
315	0.3610566937
316	0.360972012
317	0.3608621107
318	0.3607772905
319	0.3607054576
320	0.3606430054
321	0.3605108879
322	0.3604143257
323	0.3603032218
324	0.3601831754
325	0.3600766985
326	0.3600052214
327	0.3599693665
328	0.3598661002
329	0.3597207564
330	0.359627636
331	0.3595406882
332	0.3594537049
333	0.3593357015
334	0.3592387692
335	0.3591321998
336	0.3590385863
337	0.3589096222
338	0.3587882015
339	0.3586776754
340	0.358628082
341	0.3585460719
342	0.3584391794
343	0.3583427515
344	0.3582255349
345	0.3580982795
346	0.3580306122
347	0.3579600861
348	0.357860536
349	0.3577524918
350	0.3576370328
351	0.3575452828
352	0.3574445389
353	0.3573415801
354	0.3572440906
355	0.3571153609
356	0.3569929812
357	0.3568043978
358	0.3566894516
359	0.3565920515
360	0.3565067314
361	0.3563828912
362	0.3562074074
363	0.3561004221
364	0.3559718709
365	0.3558732902
366	0.3558249763
367	0.3557034599
368	0.3555714831
369	0.3554490269
370	0.3553010616
371	0.3551441499
372	0.3550503297
373	0.3549363414
374	0.3547876749
375	0.354639495
376	0.3545236111
377	0.3544600041
378	0.3543541937
379	0.3542560276
380	0.3541738374
381	0.3540454156
382	0.3539320784
383	0.3538618453
384	0.3537587493
385	0.3536605958
386	0.3535054462
387	0.3533973228
388	0.3532813732
389	0.3531738108
390	0.3530954229
391	0.3530168121
392	0.3529539014
393	0.3528612435
394	0.3527340017
395	0.3526126698
396	0.3525617497
397	0.3524710005
398	0.3523748752
399	0.3523132331
400	0.3521975419
401	0.352058901
402	0.3519939212
403	0.3518441595
404	0.3517562696
405	0.3516969416
406	0.3516295262
407	0.3515396599
408	0.3514369614
409	0.3513432586
410	0.3512217388
411	0.351120667
412	0.3510368435
413	0.3509247541
414	0.3508286539
415	0.3507202322
416	0.350614347
417	0.3505099099
418	0.3504118925
419	0.3503384091
420	0.3502202832
421	0.3501132503
422	0.3499921854
423	0.3498621627
424	0.3497687937
425	0.349742316
426	0.3496413671
427	0.3495428182
428	0.3494510428
429	0.3493200077
430	0.3492628934
431	0.3491770698
432	0.3490647842
433	0.3489862383
434	0.3488866905
435	0.348752775
436	0.3486340331
437	0.3485697416
438	0.3484443327
439	0.3483289932
440	0.3482655427
441	0.3481759987
442	0.3481286759
443	0.3480345047
444	0.3479360536
445	0.3478813812
446	0.3477674878
447	0.3476943524
448	0.3476205966
449	0.3475202391
450	0.3474463307
451	0.3472919947
452	0.3471944095
453	0.347077889
454	0.3469553201
455	0.3468475222
456	0.34673723
457	0.3465899021
458	0.3464867495
459	0.3464538334
460	0.346381698
461	0.3462815898
462	0.3462068994
463	0.3461568459
464	0.3460807837
465	0.3460047409
466	0.3459112804
467	0.345775011
468	0.345657113
469	0.3455787833
470	0.3455198893
471	0.3454004044
472	0.3453334478
473	0.3452321926
474	0.3451753058
475	0.3450975904
476	0.3449399515
477	0.3449086312
478	0.3448381093
479	0.3447565908
480	0.3446687127
481	0.3445845355
482	0.3445165866
483	0.3444336531
484	0.3443016719
485	0.3442110892
486	0.3440637723
487	0.3439374871
488	0.3438407181
489	0.343727541
490	0.3436324767
491	0.343523114
492	0.3434270775
493	0.3433376588
494	0.3431857032
495	0.3431128526
496	0.3429748926
497	0.3428674255
498	0.3427330865
499	0.3426470491
